text,prediction
@merkurrretrosu Fok balığı gibisisçskdjdj,[[0.46964119 0.53035881]]
@muratdiyorlar Hshddkf,[[0.46964119 0.53035881]]
RT @sehide01: Kardeşlerimiz SerbestKalsın  https://t.co/GlJYqhaYG1,[[0.40711539 0.59288461]]
@Borsatrendi Borsa milletin güvenini kırdı müşteri kaçırdılar dolar yüzde 1 çıksa borsa yüzde 5 düştü hırsızlık kanlarına işlemiş dur diyende yok,[[0.46964119 0.53035881]]
@ali_kumuru Arada hatırlatıyorum bro işte,[[0.46964119 0.53035881]]
@koyarizikikadeh @kuruduktamamen Ne kırıklar varmış 😂,[[0.46964119 0.53035881]]
RT @Tijenn08_: 🤣🤣🤣🤣 hiçte güleceğim yoğudu... Duydunuz mu sayın şahıslar😂😂😂  https://t.co/oH8pBrmxST,[[0.40711539 0.59288461]]
RT @falveastroloji_: ♥️ BAYRAM İNDİRİMİ ♥️ 🌸 Kampanya yarından itibaren başlayıp bayramın son gününe kadar geçerlidir.  🌸Her gün sadece 2 s…,[[0.38987615 0.61012385]]
@therolexs Aynen aynen dnsnnsn,[[0.46964119 0.53035881]]
@therolexs Berkayyy 3.5 attın hala konuşuyorsun 😃😃,[[0.46964119 0.53035881]]
@t24comtr Doğrudur David amca,[[0.34792852 0.65207148]]
Araba arabaya benzer,[[0.46964119 0.53035881]]
@kuzeygokhn Güzel espiri,[[0.46964119 0.53035881]]
@k3direm 39 yaşındayım o aradığın şeyi hala bulamadım😊,[[0.46964119 0.53035881]]
kediniz banyoya giderken onu da içeri almadınız diye ağlıyor mu yoksa normal mi,[[0.33067473 0.66932527]]
RT @frknnesli12: 12 gündür iş adamı kaçırıldı deyip biran evvel bulunması için yaygara koparanlar iş adamı bulundu.Farkinda mısınız?Burnumu…,[[0.46964119 0.53035881]]
Yaşanabilirse güzel hayallerimiz var :),[[0.46964119 0.53035881]]
RT @fv_busragenc: 🔴GÜNDEM ÇALIŞMAMIZ BAŞLADI!  Etiketimiz:   KaranlıkGüçler İşBaşında,[[0.46964119 0.53035881]]
@borsacibaba Cebe girmeyen kar kar değildir 😊,[[0.46964119 0.53035881]]
@Ogulcangungordu Vicdannn!!!,[[0.46964119 0.53035881]]
@dilekzdg zorla sildirme diye sen söylemeden kırptım fotonu am i better than everyone??,[[0.64332862 0.35667138]]
@mehmetsariiiiii @metineskikara @SavciSayan Doğru canı Allah Allah verir Can’da Allah’ın cansızda Allah’ın.,[[0.46964119 0.53035881]]
Gereksiz samimiyetinizi kendinize saklayın.,[[0.46964119 0.53035881]]
Bu aralar o kadar keyifsizim ki hayattan tek beklentim günün bitmesi.,[[0.46964119 0.53035881]]
RT @Ruya_Grck: Kardeşlerimiz SerbestKalsın #AdaletBekleyişi,[[0.46964119 0.53035881]]
Basit ama güzel olan şeyler ; +Uyumak  +Yemek  +Gezmek +Müzik dinlemek,[[0.46964119 0.53035881]]
@akantalyali O 500 korumalı saltanatın 1 yıllığı değil.,[[0.46964119 0.53035881]]
"İnsan değişmez, farkına varır.",[[0.46964119 0.53035881]]
@Songul4535 Kadına yanan odundur katılıyorum 😊,[[0.46964119 0.53035881]]
RT @dilaaraaa_e: ben valla artık gerçekten yani ne bileyim,[[0.28852765 0.71147235]]
@atebenn Benim kırığım daha derin yoksa bunlarmıdır kırık olmamıza sebeb😊,[[0.46964119 0.53035881]]
@ismaillgurkall İkiside daha çocuk sayılır,[[0.46964119 0.53035881]]
@senagurol1 Bi bitmediler ya,[[0.46964119 0.53035881]]
@atebenn 😊,[[0.46964119 0.53035881]]
@t24comtr Hem adamı yollayın hemde arayın nasıl bir ülke olduk.,[[0.46964119 0.53035881]]
@A_umuttt_kryk Orası kardeşim😅,[[0.46964119 0.53035881]]
Sadece amınakoyimmmm noktaa,[[0.46964119 0.53035881]]
@leilaa986 @Meleksepetcii 64,[[0.46964119 0.53035881]]
@SemirYapici Rica ederim Semir abi 🥺,[[0.46964119 0.53035881]]
bunu adanada yapsam gelir misiniz fal da bakarım 0 saka  https://t.co/eh0I7l8f67,[[0.40711539 0.59288461]]
Bu muydu uğruna annemin karnını tekmelediğim hayat .,[[0.46964119 0.53035881]]
Hayırlı Cumalar..,[[0.46964119 0.53035881]]
@sevdaturkusev Ülke gösteriş yapan iyilik severler ile soygunculara kalmış,[[0.46964119 0.53035881]]
biontech olanlar regl agrısı cekmiyodu diyenler kimdi ebemi tersten görüyorum ağrıdan,[[0.46964119 0.53035881]]
RT @sedat_peker: 6- Lan süslü sülü,[[0.46964119 0.53035881]]
RT @FaymaKardas: Kardeşlerimiz SerbestKalsın Şuan sinyal engelleme aracı ile sosyal medyaya girmemiz engelleniyor.Tüm toplum kuruluşları ha…,[[0.46964119 0.53035881]]
RT @ensonhaber: Avrupa'da mutasyona uğramış korona paniği  https://t.co/UExQ092T0R  https://t.co/aH7t7MY60f,[[0.40711539 0.59288461]]
Gözbebeklerine mesafem bir dudak payı.,[[0.46964119 0.53035881]]
evet,[[0.46964119 0.53035881]]
@bayaminik senin storyin yüzünden bana geldiler zaten..,[[0.46964119 0.53035881]]
@isasahinn1 @Deniz0109499451 Mamtıklı sjdjdhskdk,[[0.46964119 0.53035881]]
@melodramess konuş kız ✨,[[0.46964119 0.53035881]]
RT @TugayTASCI02: Kardeşlerimiz SerbestKalsın  https://t.co/dcbzhdOlXN,[[0.40711539 0.59288461]]
@Lik3Dyin 🤲🏻🤲🏻🤲🏻🕋 🕋 🕋,[[0.46964119 0.53035881]]
İyide iyi olsun hahahahah,[[0.46964119 0.53035881]]
R.B.K.O🥳,[[0.46964119 0.53035881]]
Lanyapmalandeliettinlankendini,[[0.46964119 0.53035881]]
RT @t24comtr: Hukukçu Turgut Kazan'dan yargıya Sedat Peker eleştirisi: Ben seyrederken utanıyorum,[[0.28852765 0.71147235]]
@EmreUslu @NLpeyniri Ya rte sevmem bu suç değil ama sen tam bir bitsin bit.dona atlete tapan it.,[[0.29542475 0.70457525]]
RT @cokiyikufur:  https://t.co/AT5vKXtrvQ,[[0.40711539 0.59288461]]
@_ertenn İşçilik sende bedava tabi😊,[[0.46964119 0.53035881]]
@Merveciim2 A Normal,[[0.33067473 0.66932527]]
@Ali_Oztunc @Edwardlows Böyle zihniyetin ve sevgisizliğin olduğu okuldan cinci talebe çıkar.,[[0.46964119 0.53035881]]
@Sade_Kahve1987 Galiba jahhshs,[[0.46964119 0.53035881]]
Yapmayın lan kendinizeee,[[0.46964119 0.53035881]]
Gidince beni ara kadar sevdiğim bir cümle yok✨,[[0.46964119 0.53035881]]
RT @Rabia_Ysnky: Müslümanların düşmanı İHA ve ortaklarını rezil eden Rabbimize sonsuz hamdolsun. Biz demiştik FURKAN GÖNÜLLÜLERİ VE ALPARSL…,[[0.46964119 0.53035881]]
RT @AhinSubat: Kardeşlerimiz SerbestKalsın Kardeşlerimizi yalnız bırakmayacağız,[[0.46964119 0.53035881]]
@gevezesena Bu benn 😃,[[0.46964119 0.53035881]]
RT @AsuduYusuf: Furkan Vakfı gönüllüsü 3 kişinin gözaltında işkenceyle kabul etmesi istenilen,[[0.46964119 0.53035881]]
RT @wannawave:  https://t.co/uzRgd6fMRy,[[0.40711539 0.59288461]]
Burası dünya nereye varsan,[[0.46964119 0.53035881]]
imdat diye topuklarımı götüme vura vura kaçmama ramak kaldı hangi ülke olduğu hiç farketmez hiçbir ülke zaman ilerledikçe ilkelleşmiyor tc dışında,[[0.46964119 0.53035881]]
RT @Tl59384530: Gündem Özel Programı Ömer Faruk Gergerlioğlu'nun röportajıyla devam ediyor Emniyetteİşkenceyi Lanetliyoruz #AdaletBekleyişi…,[[0.46964119 0.53035881]]
Yarın staja kim gidecek alıştık uyanınca kebap yemeye seri üzgün,[[0.46964119 0.53035881]]
Terör destekçisi oluşumlar türkiyede feminizm anlayışını mahvetti zaten onur yürüyüşüne bile girmeye çalışıyorlar kendilerini çoğaltabilmek için çok ilginç. İlk açıldığında gülmüşlerdi ama bence türkiyede doğru feminizm anlayışı için bu sayfa ihtiyaç dahilinde @turkfeminizmh,[[0.46964119 0.53035881]]
@nisnegi Nee çıktı mı,[[0.46964119 0.53035881]]
@Ozgekocahan 💯👌,[[0.46964119 0.53035881]]
Cinayet te level atlamış,[[0.48242875 0.51757125]]
@Kumral_cadiiiii @ibrhmvarli neden yemesin? onu yeme,[[0.46964119 0.53035881]]
@BEDREDDN2 Ne demedum ki  😂,[[0.46964119 0.53035881]]
@merend7 Virüs gibi her yerdeler,[[0.46964119 0.53035881]]
