text,prediction
Şaka yapmıyordum bebeğimm😉  https://t.co/bfJYbQPdTP,[[0.40711539 0.59288461]]
RT @kadirwes: seninle şöyle.. benim de var bi hayalim  https://t.co/abgxRyXyC8,[[0.41515248 0.58484752]]
bu hayata bir günde küsmedim  https://t.co/ygPYj76epH,[[0.40711539 0.59288461]]
RT @metinerol9851: Hiçbir suçu olmadığı halde günlerdir işkence gören kardeşlerimizin Bir an önce serbest bırakılmasını istiyoruz...  Karde…,[[0.46964119 0.53035881]]
RT @artsunsett:  https://t.co/EPHewHobCx,[[0.40711539 0.59288461]]
Adana'da sıcakta yanmaya devam mı ya burası çok sogukta,[[0.46964119 0.53035881]]
Ue sisteminin Allah belasını versin.,[[0.46964119 0.53035881]]
@Songul4535 Tecrübe konuşuyor inan😊,[[0.46964119 0.53035881]]
RT @izzetdas: Yeri geldiğinde bedel ödeyen vefalı lider YOLUN YOLUMUZDUR  Kardeşlerimiz SerbestKalsın #AdanaEmniyeti @AdanaEmniyeti  https:/…,[[0.46964119 0.53035881]]
@ProfDemirtas Önemli değil onlarda gelsin Türkiye’ye hiç Lübnanlı görmemiştim Allah razı olsun devletimizden yerimizden kalkmadan devri alem yapmak bu olsa gerek.,[[0.46964119 0.53035881]]
RT @furkanvakfiTT: KIYMETLİ KARDEŞLERİMİZ GÜNDEM ÇALIŞMAMIZ BAŞLADI ‼️  📌 Etiketimiz;  MedyaEliyle TuzakKuruluyor,[[0.46964119 0.53035881]]
RT @2UrfaFurkan: Furkan Gönüllülerine Kumpas Devam Ediyor! Bir Gönüllü Daha Haksızca Tutuklandı! Yargısızİnfaza Son  https://t.co/GgjTlDwJl0,[[0.37038487 0.62961513]]
RT @2UrfaFurkan: Yargısızİnfaza Son,[[0.38987615 0.61012385]]
Şuanki ruh halimiz,[[0.46964119 0.53035881]]
RT @royzvow: Pijanic en az 1 ay yok oyundan çıkışından anladım nerden biliyosun diye sormayın biz Galatasaraylıyız…,[[0.46964119 0.53035881]]
Bu işin raconu bu; herkes hakkında her şeyi biliriz ama hiçbir şey bilmiyormuş gibi davranırız.,[[0.46964119 0.53035881]]
RT @Huzursesimiz123: AdanaEmniyetinde İşkence ifadeye çagrıyorsunuz işkence için mi ❗ Kolluk kuvveti güvenimi sarstı  bu olayın sorumluları…,[[0.46964119 0.53035881]]
Her zaman yapıcı olmak kırabiliyor kalbimizi dimi diyecemde empati kuramaya bilirim,[[0.46964119 0.53035881]]
RT @callmetubik: @angelifca ☁️🧜🏻‍♀️  https://t.co/TgdH3Hoe30,[[0.40711539 0.59288461]]
@iremsehren 👀,[[0.46964119 0.53035881]]
Sigara içen kız soğuma sebebi,[[0.46964119 0.53035881]]
@ayhan57207470 Rojbaş patron🙋‍♂️,[[0.46964119 0.53035881]]
@sumeyyademirel7 İnsan arkadaşlarını seçemiyor işte,[[0.46964119 0.53035881]]
@BanuOzdemirChp Kadının suratındaki şerri görebilirsin.,[[0.46964119 0.53035881]]
https://t.co/HYeB6DAHmc,[[0.40711539 0.59288461]]
RT @takkkkkkkkko: tc kabile savaşları,[[0.46964119 0.53035881]]
@Ulubatl99683747 Amin,[[0.46964119 0.53035881]]
RT @tevhid_eri47: Furkan Gönüllülerine Kumpas Devam Ediyor! Bir Gönüllü Daha Haksızca Tutuklandı! Yargısızİnfaza Son  https://t.co/dCk0LfPe3o,[[0.37038487 0.62961513]]
RT @MumineFv: @ihacomtr ANBEAN Camiye namaz kilmak icin gelip gidenlerin fizik yapısının‼️ Kaçıran kişilerin fizik yapısından farklı olduğu…,[[0.46964119 0.53035881]]
@SemirYapici konu nasıl saptırılır ve haklı durumlarda bile nasıl haksız duruma düşülür örnekleri tamamen,[[0.46964119 0.53035881]]
En iyi yaptığımız şey değil mi? gülmekk,[[0.46964119 0.53035881]]
@dln_2134 Ölüm her şeyi yok edecek. Ruhları sevmeyi deneyin. :),[[0.46964119 0.53035881]]
RT @furkanylmazz27: Şu an Ceyhan Polis Noktasında Yaklaşık 1-2 saattir boş yere bekletiliyoruz. Hep 5 dk 5 dk diyorlar! Bizden sonra gelen…,[[0.46964119 0.53035881]]
Anlamak çözmeye yetmez,[[0.46964119 0.53035881]]
@ilaydasekeerr 2 kilo dometes al yemek yapsana deli yapamazsan ara 😉😄,[[0.43435452 0.56564548]]
@HocaNabi47 Spas.. mamoste..,[[0.46964119 0.53035881]]
@Ozgekocahan Bu twiti anımsıyorum sanki babyy,[[0.46964119 0.53035881]]
@1dilhunnn ben senin adına daha çok üzüldüm cnm boşver çay içip hafızlığa devam kafanın her şeye basmaması normal 🤝,[[0.25256429 0.74743571]]
@LazBurakk 43,[[0.46964119 0.53035881]]
@orhancangorgun gülsem üzülür müsün,[[0.46964119 0.53035881]]
@Ozgekocahan Gösterdiğin yolda durmadan yürüyeceğime ant içerim hahahahahh,[[0.46964119 0.53035881]]
@TheRolexs Doruuuuu 😃,[[0.46964119 0.53035881]]
Saplaaaaaaaaaaa❤️‍🔥,[[0.46964119 0.53035881]]
@atadogann 6-babel 7-babel 8-crouch Dkdkkxmxmxmxmxmxmxmmxkxkxmxmxmxmxkmxkxkxk,[[0.46964119 0.53035881]]
hatta kendiliğinden fotoğraf çekmeyi ve bu tarz fotoğraflarımızı editlemeyi seven bi sevgilim olursa nikahı ben basabilirim,[[0.30766967 0.69233033]]
sonunda 🥰 eylül geldi 🥰 sonbahar 🥰 yerdeki yaprakların 🥰 üzerinden geçerken çıkan ses 🥰 yağmur 🥰 rüzgar 🥰 aşk 🥰 hoodie 🥰 artık her sey çok güzel olucak 🥰😍🤩🤗💖💗💓💞💕💫🌾🍂🍁🍃✨,[[0.46964119 0.53035881]]
ortak playlist pişmanlıktır,[[0.46964119 0.53035881]]
Bu bataklığa ben de düştüm galiba. 👊😂  https://t.co/TTcm1UPqYo,[[0.31389699 0.68610301]]
@Ozgekocahan Olur keserim ya biz ne konuşuyoruz yorgunluğu dhhddh,[[0.46964119 0.53035881]]
RT @aloimdat: tırnaklarımı kesince kendimi kolsuz gibi hissediyorum tırnağın ekrana çarpınca çıkardığı tıkırtı olmayınca bir hiçmişim ben..…,[[0.28852765 0.71147235]]
@bayaminik AGAJSLWŞWKSJDJ napalım tutamadık kendimizi ✍🏻,[[0.46964119 0.53035881]]
@MehmetErtnYigit @arzuylmaz83 Pekcanıda boşuna yediler sanki,[[0.46964119 0.53035881]]
RT @yalcinerhuseyin: @furkanvakfi Çok geçmiş olsun. En kısa zamanda Koray abiye ulaşılır inş. Ulaşıldığında da bütün düğümler çözülecektir.…,[[0.46964119 0.53035881]]
RT @ysufakdgn: “Allah’ın Dünyasında Allah’ın Dediği Olmalı” demekten başka bir suçu(!) olmayan   Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
@Nis_a_ @TarkZiy38811355 boş okuduğun içindir kank,[[0.46964119 0.53035881]]
@muratsarisac  https://t.co/Ik7g5AZsGd,[[0.40711539 0.59288461]]
@10_huelya Bu kadar malın olduğu ülke ucuzdur.,[[0.46964119 0.53035881]]
@4rtizs Bu saatte evett slkckfmgm,[[0.46964119 0.53035881]]
Gerçek hislerle dolu bir mesaja ihtiyacım var,[[0.46964119 0.53035881]]
RT @MustafaSahinFV: Hala kayıp olduğu iddia edilen Koray Sarısaçlı'dan açıklama:  “Furkan Gönüllüleri ile hiçbir husumetim yok,[[0.46964119 0.53035881]]
@ali_kumuru Doğru 😑,[[0.46964119 0.53035881]]
@AybegDuyul Doğru,[[0.46964119 0.53035881]]
kişiliğini çaldıklarım  https://t.co/6sZ7EQ23d2,[[0.40711539 0.59288461]]
@Silayksel4 Başka çarem yok zatenn 😑,[[0.46964119 0.53035881]]
Dünyada huzur arayanın huzuru kaçar.,[[0.46964119 0.53035881]]
@tabiatana4 Öyle tabi ama beş parmağın beşi de bir değil,[[0.45258446 0.54741554]]
@_gkhny1 Sade,[[0.46964119 0.53035881]]
RT @Fvgonulluleri: 🔴GÜNDEM ÇALIŞMAMIZ BAŞLADI!  Etiketimiz:   KaranlıkGüçler İşBaşında,[[0.46964119 0.53035881]]
"RT @serhatbedlek: Furkan Gönüllüsü İzzet Daş'ın kaleme aldığı \"Furkan Kardeşliği\" şiirini cezaevinde tutuklu bulunan kardeşlerimize",[[0.46964119 0.53035881]]
RT @tevhidnesli_3: ADANA ADLİYESİ ÖNÜNDE BEKLEYİŞ | CANLI YAYIN   Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
RT @hacerbolaat: GÜNDEM ÇALIŞMAMIZ BAŞLADI ❗️❗️❗️  Etiketimiz:  MedyaEliyle TuzakKuruluyor,[[0.46964119 0.53035881]]
@YELVE5 🙏,[[0.46964119 0.53035881]]
@silanee47 Hürriyet kelimesi türkiye de geçmiyor mu zaten..,[[0.45258446 0.54741554]]
Lanet olsun bugünde çok kötüyüz,[[0.46964119 0.53035881]]
@maxoline6 kızım süpheye düşüyosan sen kurmuşsun kafanda bahane arıyosun sen kuruntulusun saçmalama..,[[0.46964119 0.53035881]]
Olum yemek paylaşmayın ya canım çekiyor.,[[0.46964119 0.53035881]]
@Ozgekocahan @Eyll17474476 Karışma len kızaa😋,[[0.46964119 0.53035881]]
