text,prediction
@ademsyn Portakalın vücut bulmuş haline brnziyor daha çok skdjfjfj,[[0.46964119 0.53035881]]
RT @DortDortlukTwet:  https://t.co/IDWmSQnTSf,[[0.40711539 0.59288461]]
@eksuzmii 🤲🏻🕋,[[0.46964119 0.53035881]]
@pelinuzl Biliyorum biliyorum,[[0.46964119 0.53035881]]
Herkesin sevmesi için gülmüyorumm😉✨  https://t.co/z01rLlBx1v,[[0.40711539 0.59288461]]
İzmir province,[[0.46964119 0.53035881]]
RT @eren01_zekiye: Mesele Kürt meselesi değil Rejim meselesi.. Haftanın Yalanları #acildemokrasi #enflasyon   https://t.co/ENIySQwz2r,[[0.40711539 0.59288461]]
RT @MumineFv: ADLİYE ÖNÜ CANLI YAYIN BAŞLADI   https://t.co/wcGDwVzRHB  #salı #MansurYavaş #BenimFikrim #kykyurtları Kardeşlerimiz SerbestKa…,[[0.40711539 0.59288461]]
@SudeKaranfil34 @basakksu Gt,[[0.46964119 0.53035881]]
@ensonhaber Kaçak tütün fazlalaştı tekelin satış oranına bakmayın,[[0.46964119 0.53035881]]
https://t.co/Kgq2EwKPLh,[[0.40711539 0.59288461]]
RT @MustafaSahinFV: @ihacomtr İHA açılımı: İftira Haber Ajansı  Siz alçaksınız! Kendi eşini bile dinlemediniz,[[0.46964119 0.53035881]]
@t24comtr O vergi oluşumu birilerini yine kılçıksız zengin eder millette zaten aynı fiyat üzerinden veya daha pahalı yer hesap bu.,[[0.46964119 0.53035881]]
RT @alagozali01: AdanaEmniyetinde İşkence Nedir sizin derdiniz? İfade için çağrılan insanlara işkence yapmak da nedir? Ne kadar küçülür old…,[[0.54590077 0.45409923]]
@hazalerogglu2 Dimi dimii,[[0.46964119 0.53035881]]
@akantalyali Yani hiç doların düştüğüne şahit olmadık ana güzel bir hayal 💭.,[[0.46964119 0.53035881]]
@Ozgekocahan Sende olmasan ne yaparım biricik fanımm,[[0.46964119 0.53035881]]
@serkannyyldrm Bazen tercihlerde yanlıştır 😅,[[0.46964119 0.53035881]]
maalesef ki yaşınızın sorumluluğunu almaz ve nasıl olsa karşı taraf beni bırakmaz düşüncesiyle tutarsız hareket ederseniz en seveni bile sizden soğutursunuz. bu tarz erkeği sadece annesi sever o da oğlu olduğu ve başka seçeneği olmadığı için,[[0.46964119 0.53035881]]
@xbay07 @cemo968 @goktekivosvoslu @7Umuteroglu @umutaslabitmez  bide ben  @hilalblut01  😂👊,[[0.28852765 0.71147235]]
@CihanH4N Adana tabikii de,[[0.45258446 0.54741554]]
Günaydın,[[0.46964119 0.53035881]]
"RT @SeRMiMaRaN_: \"Kardeşlerimiz SerbestKalsın\" Bu düzenin böyle gitmesine müsaade etmedik etmeyeceğiz. Sonuna kadar Mücadele Sonuna kadar Ö…",[[0.46964119 0.53035881]]
RT @fjstik: disil enerjimi yukseltmek icin iki saat meditasyon yaptiktan sonra cektigim video  https://t.co/XY64bLp7zv,[[0.60774483 0.39225517]]
arkadaslar nolur böyle bir sey yapmayın ilk üni tercihimi yaparken boş kalmasın bari sonuna kadar dolsun diye doğu illerini serpiştirip en sona ağrı yazmıştım ağrı gelmişti PUAHAHSJSKSK üniversite yolunda ineklere koyunlara yol veriyordum sakın bakın sakınnnn,[[0.46964119 0.53035881]]
Sırtımdan atamadım kendimi bir türlü.,[[0.46964119 0.53035881]]
cv yoklaması frekans imza mühür kaşe tc hes kodu kafamın arkalı önlü tomografisi röntgen ultrason e devlet ikametgah belgem ehliyetim pasaportum öz bne,[[0.46964119 0.53035881]]
"RT @kacsaatolduson: Süleyman Soylu \"Temmuz'dan itibaren ekonomi şahlanacak\" diyeli 25 gün",[[0.46964119 0.53035881]]
RT @davanianlat: Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
@1Utopya 😂😂,[[0.46964119 0.53035881]]
@Damlanurgokkk Baby🥳,[[0.42690601 0.57309399]]
@dilaracann30 ☘,[[0.46964119 0.53035881]]
RT @alparslankuytul: Gözaltındaki kardeşlerinin serbest bırakılmasını bekleyen Alparslan Kuytul Hocaefendi'nin de aralarında bulunduğu yüzl…,[[0.42880767 0.57119233]]
Tiktokta bi adam var 7/24 geliyo mu sesim diye dans ederek zayıfladı amk ne bu dansın adı yarın başlıyorum chloe pamela bok yesin,[[0.46964119 0.53035881]]
RT @furkanvakfiTT: Kayıp İş Adamının Ortaya Çıkmasıyla Furkana Kumpasın Çökmesi Hakkında Basın Açıklaması  MedyaEliyle TuzakKuruluyor #Furk…,[[0.46964119 0.53035881]]
@Ayyildiz013547 Sjshdhd,[[0.46964119 0.53035881]]
RT @nebevihareket: Emniyetİşkence YeriMi  Bırakın suçsuzu,[[0.46964119 0.53035881]]
@Eylem38109398 Kesinlikle😂,[[0.46964119 0.53035881]]
Düğün arabamın arkasında şey yazsa mesela '8 kızlardı en güzelini ben aldım' lfkfmfjfn,[[0.28852765 0.71147235]]
RT @semrakuytul: Bugün çok garip şeyler yaşanıyor. Kayıp iş adamı bulundu,[[0.46964119 0.53035881]]
DAHA NE KADAR AVUTABİLİRSİN BENİ BU ABUK SUBUK MASALLARLAA,[[0.46964119 0.53035881]]
@clktugce 🥺🥺,[[0.46964119 0.53035881]]
